0,1
12.917693,3.7032514
1,1
12.817497,3.7032514
2,1
12.717301,3.7032514
3,1
12.617105,3.8033204
4,1
12.516909,3.9033895
5,1
12.416712,4.0034585
6,1
12.316516,4.1035275
7,1
12.21632,4.2035966
8,1
12.116123,4.3036656
9,1
12.015927,4.403735
10,1
11.915731,4.503804
11,1
11.815535,4.6038733
12,1
11.715339,4.7039423
13,1
11.615142,4.8040113
14,1
11.514946,4.9040804
15,1
11.41475,5.0041494
16,1
11.314553,5.1042185
17,1
11.314553,5.2042875
18,1
11.314553,5.3043566
19,1
11.314553,5.4044256
20,1
11.314553,5.5044947
21,1
11.314553,5.6045637
22,1
11.314553,5.7046328
23,1
11.314553,5.804702
24,1
11.314553,5.904771
25,1
11.314553,6.00484
26,1
11.314553,6.104909
27,1
11.314553,6.204978
28,1
11.214357,6.305047
29,1
11.114161,6.405116
30,1
11.013965,6.505185
31,1
10.913769,6.605254
32,1
10.813572,6.7053237
33,1
10.713376,6.8053927
34,1
10.61318,6.905462
35,1
10.512983,7.0055304
36,1
10.412787,7.1056004
37,1
10.312591,7.2056694
38,1
10.312591,7.3057384
39,1
10.312591,7.4058075
40,1
10.312591,7.5058765
41,1
10.312591,7.6059456
42,1
10.312591,7.7060146
43,1
10.312591,7.8060837
44,1
10.312591,7.9061527
45,1
10.312591,8.006222
46,1
10.312591,8.106291
47,1
10.312591,8.20636
48,1
10.212395,8.306429
49,1
10.112199,8.306429
50,1
10.012002,8.306429
51,1
9.911806,8.306429
52,1
9.811609,8.306429
53,1
9.711413,8.306429
54,1
9.6112175,8.306429
55,1
9.511021,8.306429
56,1
9.410825,8.306429
57,1
9.310629,8.306429
58,1
9.210432,8.306429
59,1
9.110236,8.306429
60,1
9.01004,8.20636
61,1
8.909843,8.20636
62,1
8.809647,8.106291
63,1
8.709452,8.106291
64,1
8.609255,8.006222
65,1
8.509058,8.006222
66,1
8.408862,7.9061527
67,1
8.308666,7.9061527
68,1
8.208469,7.8060837
69,1
8.1082735,7.8060837
70,1
8.008078,7.8060837
71,1
7.907881,7.7060146
72,1
7.807685,7.7060146
73,1
7.7074885,7.6059456
74,1
7.607292,7.6059456
75,1
7.507096,7.5058765
76,1
7.4069,7.5058765
77,1
7.3067036,7.4058075
78,1
7.206507,7.4058075
79,1
7.106311,7.3057384
80,1
7.006115,7.3057384
81,1
6.9059186,7.3057384
82,1
6.805722,7.2056694
83,1
6.705526,7.2056694
84,1
6.6053295,7.1056004
85,1
6.5051336,7.1056004
86,1
6.4049373,7.0055304
87,1
6.304741,7.0055304
88,1
6.2045445,6.905462
89,1
6.1043487,6.905462
90,1
6.0041523,6.905462
91,1
5.903956,6.8053927
